INDEX,KR,EN
0,"분말적층용융방식이란, 분말 재료를 롤러 등으로 베드에 얇게 깔아준 뒤 레이저를 선택적으로 조사하여 소결(Sintering)하는 조형 방식을 말합니다.<n> 레이저빔, 전자 빔 등의 에너지원을 사용하며, 분말적층용융방식의 대표적인 세부조형방식에는 SLS, DMLS, EBM이 있습니다.",No Translation 0
1,"분말 형태의 플라스틱, 알루미늄, 티타늄, 세라믹 등을 사용합니다.<n>조형물의 내구성이 우수하여 시제품이 아닌 최종제품 생산이 가능하며,<n>소결되지 않은 분말이 서포트 역할을 하므로 별도의 서포트가 <n>필요하지 않습니다. 이러한 점 때문에 복잡한 형상도 조형할 수 있습니다.<n>또한, 분말 재료는 혼합(Blending), 여과(Sieving)를 통해 재사용이 가능하다는 장점을 가지고 있습니다.",No Translation 1
2,"분말적층용융방식 프린터의 프린팅 과정을 알아보겠습니다.<n><n>1. 먼저, 레이저 빔을 조사합니다.<n>2. 이어서 스캔 미러가 레이저 빔을 빌드 플랫폼에 전달합니다.<n>3. 전달된 레이저 빔이 분말 재료를 소결합니다.<n>4. 분말 재료가 공급됩니다.<n>5. 롤러가 빌드플랫폼에 분말 재료를 얇게 도포합니다.<n>6. 빌드플랫폼이 하강합니다.<n>7. 위 과정을 반복합니다.",No Translation 2
3,우측의 물체를 클릭하면 자세히 살펴보실 수 있습니다.,No Translation 3
4,// 아래부터 UI,No Translation 4
101,작동개념 및 구조 학습,TitleText
102,분말적층용융프린터 지식,SubTitle
103,분말적층용융3D프린터,PowderBedFusionPrinterTitle
104,POWDER BED FUSION 3D PRINTER,PowderBedFusionPrinterTitleEng
105,작동개념,Tab Title 1
106,조형재료,Tab Title 2
107,프린팅과정,Tab Title 3
108,구조,Tab Title 4
109,분말적층용융프린터,PowderBedFusionPrinter
110,-,-
111,-,-
112,-,-
113,-,-
114,-,-
115,-,-
116,<b>소결(Sintering)</b> : 분말과 같은 비표면적이 넓은 입자들을 치밀한 덩어리로 만들어내기 위해 충분한 온도와 압력을 가하는 공정,Help Me Text 1
117,<b>SLS</b> : Selective Laser Sintering,Help Me Text 2
118,<b>DMLS</b> : Direct Metal Laser Sintering,Help Me Text 3
119,<b>EBM</b> : Electron Beam Melting,Help Me Text 4
120,<b>혼합(Blending)</b> : 새로운 재료와 사용한 재료를 섞는 과정,Help Me Text 5
121,<b>여과(Sieving)</b> : 사용한 재료가 일부 경화되어 뭉쳐진 경우 이를 다시 사용할 수 있게끔 미립화하는 작업,Help Me Text 6
122,-,-
123,-,-
124,-,-
125,빠르게 +,Video Btn Text 1
126,느리게 -,Video Btn Text 2
127,원래속도로,Video Btn Text 3
