INDEX,KR,EN
0,"광중합 방식은 액체 상태의 광경화성 수지를 수조 등에 준비한 뒤,<n>자외선램프 또는 레이저 빔등의 광원을 조사하여 수지를 경화시키는<n>방식입니다. 광중합 방식은 최초로 상용화 된 프린팅 방식이기도 합니다.<n>광원의 조사조건에 따라 <b>자유 액면 방식</b>과 <b>규제 액면 방식</b>으로 구분합니다.<n><n><b>자유 액면 방식</b> : 외부로 노출된 광경화성 수지에 광원을 조사하는<n>                       방식으로, 조형물 성형이 용이하지만 높이 제어가 어렵고<n>                       경화시 지속적으로 평탄화를 해주어야 합니다.<n><n><b>규제 액면 방식</b> : 광경화성 수지에 직접적으로 광원을 조사하지 않고,<n>                       투명 창을 통해서 조사하는 방식으로 재료의 점도에<n>                       영향을 덜 받고, 평탄화가 필요없다는 장점이 있습니다.<n><n>광중합 방식의 대표적인 세부조형방식에는 SLA, DLP가 있습니다.",No Translation 0
1,조형 재료는 주로 에폭시 및 아크릴 계열의 광경화성 수지를 사용합니다.<n>빛을 받으면 굳는 성질을 가지고 있어 빛 샘 현상(Light Bleeding)이나 과경화 현상으로 인한 조형물 변형을 조심해야 합니다.<n><n>광중합 방식은 수조의 일부 수지만을 사용하여 재료 소모가 심한 편입니다.,No Translation 1
2,"광중합방식 프린터의 프린팅 과정을 알아보겠습니다.<n><n>1. 먼저, 수조에 재료를 공급합니다.<n>2. 광원에서 레이저 빔을 조사합니다.<n>3. 디지털 스캔 미러가 레이저 빔을 수조에 투사하여 재료를 경화시킵니다.<n>4. 경화된 만큼 빌드 플랫폼이 하강합니다.<n>5. 블레이드가 수지를 평탄화 합니다.<n>6. 위 과정을 반복합니다.",No Translation 2
3,우측의 물체를 클릭하면 자세히 살펴보실 수 있습니다.,No Translation 3
4,// 아래부터 UI,No Translation 4
101,작동개념 및 구조 학습,TitleText
102,광중합프린터 지식,SubTitle
103,광중합3D프린터,PhotopolymerizationPrinterTitle
104,PHOTOPOLYMERIZATION 3D PRINTER,PhotopolymerizationPrinterTitleEng
105,작동개념,Tab Title 1
106,조형재료,Tab Title 2
107,프린팅과정,Tab Title 3
108,구조,Tab Title 4
109,광중합프린터,Photopolymerization Printer
110,-,-
111,-,-
112,-,-
113,-,-
114,-,-
115,-,-
116,<b>SLA</b> : Stereo Lithography Apparatus,Help Me Text 1
117,<b>DLP</b> : Digital Light Processing,Help Me Text 2
118,"<b>평탄화</b> : 스윕 암(sweep arm)이나 스위퍼(sweeper), 블레이드(blade) 등을 이용하여 수지가 고르게 퍼지도록 하는 작업",Help Me Text 3
119,<b>점도</b> : 물질의 차지고 끈끈함의 정도,Help Me Text 4
120,<b>빛 샘 현상(Light Bleeding)</b> : 빛이 새어나가서 의도치 않은 부분이 경화되거나 조형물이 지저분해지는 현상,Help Me Text 5
121,-,-
122,-,-
123,-,-
124,-,-
125,빠르게 +,Video Btn Text 1
126,느리게 -,Video Btn Text 2
127,원래속도로,Video Btn Text 3
