INDEX,KR,EN
0,재료분사프린터 실습,Material injection printer practice
1,1. 준비,1. Preparation
2,2. 컴퓨터와 프린터 연결,2. Computer and printer connection
3,현재 착용한 장비,Equipment currently worn
4,방진마스크,Dust mask
5,보안경,Safety glasses
6,프린터 컴퓨터연경,Printer computer connection
7,슬라이서,Slicer
8,프린터 컴퓨터에 연결됨,Printer connected to computer
9,프린터 상태 확인,Check the printer status
10,프린터 상태 보기,View printer status
11,슬라이서,Slicer
12,헤드청소,Head cleaning
13,프린터 상태 확인,Check the printer status
14,점검 목록,Checklist
15,Heads (℃),Heads (℃)
16,Waste (gr),Waste (gr)
17,Heads Liquid,Heads Liquid
18,Ambient,Ambient
19,Heads Vacuum,Heads Vacuum
20,UV Lamps,UV Lamps
21,Pre Heater Front,Pre Heater Front
22,Pre Heater Rear,Pre Heater Rear
23,프린터 헤드 온도,Print head temperature
24,폐기물 용기 잔량,Remaining amount of waste container
25,챔버 온도,Chamber temperature
26,UV램프,UV lamp
27,진공 상태,Vacuum state
28,히터 온도,Heater temperature
29,모두 완료,All done
30,완료,complete
31,모델 재료 상태,Model material status
32,서포트 재료 상태,Support material condition
33,프린터 상태명,Printer status name
34,모델재료1 L,Model material 1 L
35,모델재료1 R,Model material 1 R
36,모델재료2 L,Model material 2 L
37,모델재료2 R,Model material 2 R
38,모델재료3 L,Model material 3 L
39,모델재료3 R,Model Material 3 R
40,서포트재료 L,Support material L
41,서포트재료 R,Support material R
42,4. 슬라이싱,4. Slicing
43,프린터 상태 보기,View printer status
44,슬라이서,Slicer
45,헤드청소,Head cleaning
46,5. 프린팅,5. Printing
47,모델 불러오기,Load model
48,이동,move
49,회전,rotation
50,모델뷰-등각,Model View-Isometric
51,내부 채움: 기본(50%),Inner Fill: Basic (50%)
52,배치 오류 확인,Check for batch errors
53,프린팅 소요시간 확인,Check the printing time required
54,프린팅,Printing
55,EX1. STL (6시간),EX1. STL (6 hours)
56,EX2. STL (12시간),EX2. STL (12 hours)
57,6. 조형물 회수,6. Collection of sculptures
58,printing,printing
59,Completete,Completete
60,모델재료1 L,Model material 1 L
61,모델재료1 R,Model material 1 R
62,모델재료2 L,Model material 2 L
63,모델재료2 R,Model material 2 R
64,모델재료3 L,Model material 3 L
65,모델재료3 R,Model Material 3 R
66,서포트재료 L,Support material L
67,서포트재료 R,Support material R
68,7. 조형물 후처리,7. Post-processing of sculptures
69,8. 헤드 청소,8. Head cleaning
70,프린터 상태 보기,View printer status
71,슬라이서,Slicer
72,헤드청소,Head cleaning
73,9. 재료 보충,9. Material supplement
74,점검 목록,Checklist
75,모델 재료 상태,Model material status
76,서포트 재료 상태,Support material condition
77,실습을 완료하였습니다.<n>메인 화면으로 이동할까요?,You have completed the lab. <n>Would you like to go to the main screen?
78,예,Yes
79,아니요,no
80,남은 시간,Time remaining
81,평가 과제,Evaluation task
82,"스패터, 내부 채움 무겁게<n>제한시간 : 30분","Spatter, internal filling heavy <n> Time limit: 30 minutes"
83,평가 과제,Evaluation task
84,스패너,Spanner
85,내부 채움: 무겁게,Inner Fill: Heavy
86,Heads (℃),Heads (℃)
87,Waste (gr),Waste (gr)
88,Heads Liquid,Heads Liquid
89,Ambient,Ambient
90,Heads Vacuum,Heads Vacuum
91,UV Lamps,UV Lamps
92,Pre Heater Front,Pre Heater Front
93,Pre Heater Rear,Pre Heater Rear
94,프린터 상태 확인하고 조치하기 : +10 점,Check the printer status and take action: +10 points
95,재료분사프린터 실습평가,Material injection printer practice evaluation
96,평가결과,Evaluation results
97,평가항목,Evaluation item
98,배점,points
99,다시학습,Relearn
100,컴퓨터와 프린터를 연결할 수 있다.,You can connect your computer and printer.
101,프린터 상태를 확인하고 조치할 수 있다.,You can check the printer status and take action.
102,"모델의 이동, 회전, 내부채움, 배치오류 및 계산을 할 수 있다.","Model can be moved, rotated, filled inside, placed errors, and calculated."
103,프린팅을 할 수 있다.,You can print.
104,조형물을 회수하고 트레이를 정리할 수 있다.,You can retrieve the sculpture and arrange the tray.
105,워터젯을 사용하여 서포트를 제거할 수 있다.,The support can be removed using a water jet.
106,헤드를 청소할 수 있다.,The head can be cleaned.
107,재료 상태를 확인하고 보충할 수 있다.,You can check and replenish the material condition.
108,안전하게 작업할 수 있다.,You can work safely.
109,시간내 프린팅할 수 있다.,You can print in time.
110,/10,/10
111,/20,/20
112,/20,/20
113,/10,/10
114,/10,/10
115,/10,/10
116,/10,/10
117,/F,/F
118,/F,/F
119,메인화면으로,To the main screen
120,다시 평가하기(전체),Re-evaluate (All)
121,학습 목차,Table of contents
122,01 준비,01 preparation
123,02 컴퓨터와 프린터를 연결,02 Connecting computer and printer
124,03 프린터 상태 확인,03 Check the printer status
125,04 슬라이싱,04 slicing
126,05 프린팅,05 printing
127,06 조형물 회수,06 Collection of sculptures
128,07 조형물 후처리,07 Post-processing of sculptures
129,08 헤드 청소,08 Head cleaning
130,09 재료 보충,09 Ingredient Supplement
131,"안녕하세요. 재료분사3D프린터 실습에 오신 것을 환영합니다.<n>지금 보고 계신 것은 정상적으로 프린팅을 마친 뒤, 후처리까지 완료한 조형물입니다.",Good morning. Welcome to the material injection 3D printer practice.<n>What you are looking at is a sculpture that has been normally printed and then post-processed.
132,"이번 재료분사3D프린터 실습은 총 9개 단계로 진행되며, <n>프린터를 설정하고 조작하여 위와 같은 조형물을 완성하는 것을 목표로 합니다.","This material injection 3D printer practice consists of a total of 8 courses, and aims to complete the above sculpture by setting up and operating the printer. <n>Then, shall we check the tools and equipment necessary for the work?"
