INDEX,KR,EN
0,<color=#699CB0>스택라이트</color>는 점등으로 시스템의 상태를 표시합니다.,
1,"<color=#699CB0>인쇄 챔버 영역</color>은 프린팅이 진행되는 영역으로, 외부 잠금 도어와 내부 챔버 도어로 구성되어 있습니다.",
2,<color=#699CB0>비상 중지 버튼</color>은 비상상황에서 기계를 정지시킬 때 사용합니다.,
3,<color=#699CB0>사용자 인터페이스</color>는 사용자가 터치 스크린을 사용하여 프린터를 제어할 수 있도록 합니다.,
4,"<color=#699CB0>LED 인터페이스 조명 및 컨트롤</color>은 3개의 LED를 통해 시스템 상태에 대한 시각적인 피드백을 제공하고, 챔버 조명을 제어하거나 시스템을 활성화합니다.<n>하단에는 USB포트가 있습니다.",
5,<color=#699CB0>사용자 및 서비스 액세스 패널</color>은 프린터 측면과 후면에 있는 패널입니다.,
6,<color=#699CB0>혼합 재료 보관함</color>은 재활용 재료와 새 재료가 혼합된 재료를 보관합니다.,
7,<color=#699CB0>재활용 재료 보관함</color>은 시프터를 통해 회수된 재료를 보관합니다.,
8,<color=#699CB0>새 재료 보관함</color>은 새로운 재료를 장착 및 투입합니다.,
9,<color=#699CB0>시프터 가동 스위치</color>는 시프터의 전원을 제어합니다. ,
10,<color=#699CB0>시프터</color>는 케이크에서 분리된 재료를 재사용 할 수 있도록 합니다.,
11,<color=#699CB0>브레이크 아웃 영역</color>은 케이크 상태의 조형물을 해체하는 영역입니다.,
12,<color=#699CB0>열전쌍</color>은 케이크 내부 온도를 측정합니다.,
13,<color=#699CB0>질소 냉각 커버</color>는 챔버에서 추출된 케이크를 냉각합니다.,
14,<color=#699CB0>태그 리더</color>는 재료 양과 새 재료 비율을 추적 및 투입구 잠금 해제 시 사용합니다.,
15,<color=#699CB0>집진기</color>는 먼지와 기타 불순물들을 흡입하는 데 사용합니다. ,
16,<color=#699CB0>진공청소기</color>는 흩어진 분말을 청소할 때 사용합니다.,
17,"<color=#699CB0>샌드블라스터</color>는 잔여 파우더 제거, 표면 상태 개선을 위해 사용하는 연마기 입니다.",
18,<color=#699CB0>파트 이동 트레이</color>는 파트를 카트로 이동시킬 때 사용하는 트레이입니다.,
19,<color=#699CB0>파트 추출 실린더</color>는 챔버에서 파트를 추출하는데 사용하는 실린더입니다.,
20,<color=#699CB0>파트 이동 카트</color>는 파트를 재료 공급 장치로 이동하는 데 사용하는 카트입니다.,
21,,
22,,
23,,
24,,
25,,
26,,
123,,
124,,
125,,
126,,
127,,
128,,
