INDEX,KR,EN
0,"<color=#699CB0>프린터 커버</color>는 프린터 블록과 트레이, 조형물을 보호합니다.",
1,<color=#699CB0>폐기물 용기</color>는 재료 분사 중 초과 물질이 버려지면 보관합니다.,
2,"<color=#699CB0>빌드트레이</color>는 조형이 이루어지는 곳으로, 한 레이어가 완성될 때마다 하강하여 적층이 가능하도록 합니다.",
3,밝게 표시된 부분 안에는 <color=#699CB0>와이퍼</color>가 내장되어 있습니다.<n>와이퍼는 퍼지 시퀀스 동안 프린트 헤드를 닦습니다.<n>퍼지 시퀀스(Purge Sequence)는 청소 단계를 가리킵니다.,
4,"<color=#699CB0>프린터 블록</color>은 프린터 헤드 및 자외선(UV)램프, 롤러등으로 구성되어있고, 가로, 세로로 움직여 <color=#699CB0>프린터 헤드</color>를 원하는 곳에 이동시킵니다.",
5,<color=#699CB0>프린터 헤드</color>는 모델 재료 및 서포트 재료를 트레이에 분사합니다.,
6,<color=#699CB0>자외선램프</color>는 분사된 재료를 큐어링합니다.,
7,"<color=#699CB0>진공</color> 및 <color=#699CB0>펌프</color>는 프린터 내부에 위치해 있으며, 투명 튜브를 통해서 프린터 헤드와 연결됩니다.<n><color=#699CB0>진공 튜브</color>는 물질을 빨아들이는 장치로, 헤드에서 재료가 떨어지지 않도록 합니다.<n>지금 표시된 물체는 <color=#699CB0>진공 튜브</color>입니다.",
8,"다음으로, 지금 보고 계신 것은 브라켓에 고정된 액체이송펌프입니다.<n><color=#699CB0>펌프 튜브</color>는 두 개의 튜브 중 하나로 재료를 흡입하고 다른 튜브로는 흡입한 재료를 프린터 헤드로 전달합니다.<n>재료 당 펌프 하나가 사용됩니다.",
9,<color=#699CB0>재료보관함</color>은 모델 재료 및 서포트 재료를 보관합니다.,
10,<color=#699CB0>모델 재료</color>는 프린팅 시 모델 조형에 사용되는 재료입니다.,
11,<color=#699CB0>서포트 재료</color>는 프린팅 시 서포트 조형에 사용되는 재료입니다.,
12,"<color=#699CB0>워터젯</color>은 고압의 물을 분사하여 서포트를 제거하는 역할로, 조형물 후처리 작업에 사용합니다.",
13,이제 마우스를 이용해서 자유롭게 살펴보실 수 있습니다.,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
